Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
06/Oct/2019 15:57:07,RockBLOCK 15994,MO,32322e322c2038353738352c20313338332c202033372e3134342c2d3131352e3236322c20313439322c302c30,"37.13645,-115.2155","22.2, 85785, 1383,  37.144,-115.262, 1492,0,0",45,1
06/Oct/2019 15:25:02,RockBLOCK 15994,MO,32302e392c2038353735312c20313338362c202033372e3134342c2d3131352e3236322c20313439312c302c30,"37.15615,-115.2347","20.9, 85751, 1386,  37.144,-115.262, 1491,0,0",45,1
06/Oct/2019 14:52:52,RockBLOCK 15994,MO,31392e312c2038353732372c20313338382c202033372e3134342c2d3131352e3236322c20313439392c302c30,"37.15615,-115.2347","19.1, 85727, 1388,  37.144,-115.262, 1499,0,0",45,1
06/Oct/2019 14:18:00,RockBLOCK 15994,MO,31372e322c2038353639312c20313339312c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14888333333333,-115.4769","17.2, 85691, 1391,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 13:45:48,RockBLOCK 15994,MO,31362e362c2038353634392c20313339352c202033372e3134342c2d3131352e3236322c20313530332c302c30,"37.15615,-115.2347","16.6, 85649, 1395,  37.144,-115.262, 1503,0,0",45,1
06/Oct/2019 13:13:30,RockBLOCK 15994,MO,31372e312c2038353630362c20313430302c202033372e3134342c2d3131352e3236322c20313530322c302c30,"37.1849,-115.2347","17.1, 85606, 1400,  37.144,-115.262, 1502,0,0",45,1
06/Oct/2019 12:41:14,RockBLOCK 15994,MO,31372e332c2038353537342c20313430332c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14686666666667,-115.27545","17.3, 85574, 1403,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 12:04:00,RockBLOCK 15994,MO,31362e392c2038353534312c20313430362c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14686666666667,-115.27545","16.9, 85541, 1406,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 11:29:59,RockBLOCK 15994,MO,31372e332c2038353532302c20313430382c202033372e3134342c2d3131352e3236322c20313530312c302c30,"37.13645,-115.2155","17.3, 85520, 1408,  37.144,-115.262, 1501,0,0",45,1
06/Oct/2019 10:54:51,RockBLOCK 15994,MO,31372e372c2038353437312c20313431322c202033372e3134342c2d3131352e3236322c20313530342c302c30,"37.14686666666667,-115.27545","17.7, 85471, 1412,  37.144,-115.262, 1504,0,0",45,1
06/Oct/2019 10:22:37,RockBLOCK 15994,MO,31372e392c2038353434352c20313431352c202033372e3134342c2d3131352e3236322c20313530322c302c30,"37.14686666666667,-115.27545","17.9, 85445, 1415,  37.144,-115.262, 1502,0,0",45,1
06/Oct/2019 09:50:20,RockBLOCK 15994,MO,31382e312c2038353433342c20313431362c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14686666666667,-115.27545","18.1, 85434, 1416,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 09:17:32,RockBLOCK 15994,MO,31382e312c2038353433332c20313431362c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14686666666667,-115.27545","18.1, 85433, 1416,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 08:45:24,RockBLOCK 15994,MO,31382e342c2038353339372c20313431392c202033372e3134342c2d3131352e3236322c20313530302c302c30,"37.14951666666666,-113.74288333333334","18.4, 85397, 1419,  37.144,-115.262, 1500,0,0",45,1
06/Oct/2019 08:11:34,RockBLOCK 15994,MO,31382e372c2038353336332c20313432332c202033372e3134342c2d3131352e3236322c20313530332c302c30,"37.14686666666667,-115.27545","18.7, 85363, 1423,  37.144,-115.262, 1503,0,0",45,1
06/Oct/2019 07:37:14,RockBLOCK 15994,MO,31382e372c2038353334322c20313432352c202033372e3134342c2d3131352e3236322c20313530352c302c30,"37.127183333333335,-115.25623333333333","18.7, 85342, 1425,  37.144,-115.262, 1505,0,0",45,1
06/Oct/2019 07:05:02,RockBLOCK 15994,MO,31382e342c2038353335312c20313432342c202033372e3134342c2d3131352e3236322c20313530332c302c30,"37.14686666666667,-115.27545","18.4, 85351, 1424,  37.144,-115.262, 1503,0,0",45,1
