Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
26/Oct/2019 16:03:17,Cy-4,MO,32312e312c3130303431392c20202037362c202033362e3834392c2d3132312e3433342c20202037312c302c30,"36.87075,-121.4487","21.1,100419,   76,  36.849,-121.434,   71,0,0",45,1
26/Oct/2019 15:59:05,Cy-4,MO,32302e372c3130303432322c20202037352c202033362e3834392c2d3132312e3433342c20202037312c302c30,"36.88205,-121.4104","20.7,100422,   75,  36.849,-121.434,   71,0,0",45,1
26/Oct/2019 15:54:53,Cy-4,MO,32302e322c3130303432362c20202037352c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.834716666666665,-121.38701666666667","20.2,100426,   75,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:48:54,Cy-4,MO,31392e392c3130303432332c20202037352c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.863566666666664,-121.38701666666667","19.9,100423,   75,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:44:45,Cy-4,MO,31392e382c3130303431362c20202037362c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.82345,-121.4253","19.8,100416,   76,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:40:25,Cy-4,MO,31392e372c3130303432362c20202037352c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.82345,-121.4253","19.7,100426,   75,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:36:13,Cy-4,MO,31392e362c3130303431372c20202037362c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.82345,-121.4253","19.6,100417,   76,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:32:05,Cy-4,MO,31392e372c3130303431372c20202037362c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.863566666666664,-121.38701666666667","19.7,100417,   76,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:27:59,Cy-4,MO,31392e382c3130303431392c20202037362c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.82345,-121.4253","19.8,100419,   76,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:23:46,Cy-4,MO,31392e392c3130303432382c20202037352c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.87075,-121.4487","19.9,100428,   75,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:19:32,Cy-4,MO,31392e372c3130303432322c20202037352c313030302e3030302c313030302e3030302c313030303030302c302c30,"36.82345,-121.4253","19.7,100422,   75,1000.000,1000.000,1000000,0,0",47,1
26/Oct/2019 15:16:48,Cy-4,MT,0004,,,2,1
26/Oct/2019 15:16:31,Cy-4,MO,31392e362c3130303432342c20202037352c313030302e3030302c313030302e3030302c313030303030302c302c30,"36.87075,-121.4487","19.6,100424,   75,1000.000,1000.000,1000000,0,0",47,1
26/Oct/2019 15:15:23,Cy-4,MO,31392e362c3130303431392c20202037362c202033362e3834392c2d3132312e3433342c20202036372c302c30,"36.87075,-121.4487","19.6,100419,   76,  36.849,-121.434,   67,0,0",45,1
26/Oct/2019 15:11:12,Cy-4,MO,31392e362c3130303430302c20202037372c202033362e3834392c2d3132312e3433342c20202036382c302c30,"36.834716666666665,-121.38701666666667","19.6,100400,   77,  36.849,-121.434,   68,0,0",45,1
26/Oct/2019 15:11:05,Cy-4,MT,0004,,,2,1
26/Oct/2019 15:10:40,Cy-4,MO,31392e352c3130303339392c20202037372c202033362e3834392c2d3132312e3433342c20202036382c302c30,"36.834716666666665,-121.38701666666667","19.5,100399,   77,  36.849,-121.434,   68,0,0",45,1
26/Oct/2019 15:09:09,Cy-4,MO,31392e342c3130303430302c20202037372c202033362e3834392c2d3132312e3433342c20202036382c302c30,"36.82345,-121.4253","19.4,100400,   77,  36.849,-121.434,   68,0,0",45,1
26/Oct/2019 15:08:26,Cy-4,MO,31392e342c3130303339372c20202037382c202033362e3834392c2d3132312e3433342c20202036392c302c30,"36.82345,-121.4253","19.4,100397,   78,  36.849,-121.434,   69,0,0",45,1
26/Oct/2019 15:07:43,Cy-4,MO,31392e342c3130303430302c20202037372c202033362e3834392c2d3132312e3433342c20202037302c302c30,"36.82345,-121.4253","19.4,100400,   77,  36.849,-121.434,   70,0,0",45,1
26/Oct/2019 15:05:57,Cy-4,MO,31392e342c3130303339382c20202037372c313030302e3030302c313030302e3030302c313030303030302c302c30,"36.877916666666664,-121.51043333333334","19.4,100398,   77,1000.000,1000.000,1000000,0,0",47,1
26/Oct/2019 15:05:16,Cy-4,MO,31392e342c3130303430352c20202037372c313030302e3030302c313030302e3030302c313030303030302c302c30,"36.85946666666667,-121.48698333333333","19.4,100405,   77,1000.000,1000.000,1000000,0,0",47,1
26/Oct/2019 15:04:35,Cy-4,MO,31392e332c3130303430382c20202037372c313030302e3030302c313030302e3030302c313030303030302c302c30,"36.863566666666664,-121.38701666666667","19.3,100408,   77,1000.000,1000.000,1000000,0,0",47,1
